state,district,year,education_literacy_rate,healthcare_doctor_patient_ratio,infrastructure_road_density,digital_financial_inclusion_rate
Uttar Pradesh,Jalaun,2024,72.4,42.97,43.84,71.51
Uttar Pradesh,Jalaun,2025,73.88,45.33,46.79,75.05
Uttar Pradesh,Jalaun,2026,74.85,46.88,48.74,77.38
Uttar Pradesh,Jhansi,2020,69.17,35.41,44.1,62.85
Uttar Pradesh,Jhansi,2021,70.27,37.18,46.31,65.5
Uttar Pradesh,Jhansi,2022,70.56,37.63,46.88,66.18
Uttar Pradesh,Jhansi,2023,72.79,41.2,51.35,71.54
Uttar Pradesh,Jhansi,2024,71.95,39.85,49.66,69.52
Uttar Pradesh,Jhansi,2025,72.46,40.67,50.69,70.75
Uttar Pradesh,Jhansi,2026,75.18,45.02,56.12,77.27
Uttar Pradesh,Lalitpur,2020,55.85,19.36,32.27,49.98
Uttar Pradesh,Lalitpur,2021,55.41,18.66,31.39,48.93
Uttar Pradesh,Lalitpur,2022,56.65,20.64,33.87,51.9
Uttar Pradesh,Lalitpur,2023,61.16,27.85,42.88,62.72
Uttar Pradesh,Lalitpur,2024,60.63,27.0,41.82,61.45
Uttar Pradesh,Lalitpur,2025,61.11,27.77,42.78,62.6
Uttar Pradesh,Lalitpur,2026,62.49,29.98,45.55,65.92
Uttar Pradesh,Hamirpur,2020,62.96,28.16,25.55,53.36
Uttar Pradesh,Hamirpur,2021,62.92,28.1,25.48,53.28
Uttar Pradesh,Hamirpur,2022,65.92,32.9,31.48,60.47
Uttar Pradesh,Hamirpur,2023,64.24,30.22,28.13,56.45
Uttar Pradesh,Hamirpur,2024,68.4,36.87,36.44,66.42
Uttar Pradesh,Hamirpur,2025,69.09,37.98,37.83,68.09
Uttar Pradesh,Hamirpur,2026,67.67,35.7,34.98,64.67
Uttar Pradesh,Mahoba,2020,59.56,23.03,25.07,55.0
Uttar Pradesh,Mahoba,2021,58.81,21.84,23.58,53.21
Uttar Pradesh,Mahoba,2022,58.76,21.76,23.48,53.09
Uttar Pradesh,Mahoba,2023,63.36,29.1,32.66,64.11
Uttar Pradesh,Mahoba,2024,60.16,23.99,26.27,56.44
Uttar Pradesh,Mahoba,2025,61.52,26.17,29.0,59.71
Uttar Pradesh,Mahoba,2026,59.8,23.42,25.56,55.58
Uttar Pradesh,Banda,2020,58.08,24.12,21.18,44.82
Uttar Pradesh,Banda,2021,61.34,29.33,27.7,52.64
Uttar Pradesh,Banda,2022,61.1,28.96,27.23,52.08
Uttar Pradesh,Banda,2023,62.8,31.67,30.62,56.15
Uttar Pradesh,Banda,2024,62.48,31.16,29.98,55.38
Uttar Pradesh,Banda,2025,62.71,31.53,30.44,55.93
Uttar Pradesh,Banda,2026,64.71,34.73,34.45,60.74
Uttar Pradesh,Chitrakoot,2020,58.34,19.64,27.37,48.24
Uttar Pradesh,Chitrakoot,2021,58.78,20.33,28.24,49.28
Uttar Pradesh,Chitrakoot,2022,57.95,19.02,26.59,47.3
Uttar Pradesh,Chitrakoot,2023,61.54,24.76,33.77,55.92
Uttar Pradesh,Chitrakoot,2024,61.59,24.83,33.87,56.03
Uttar Pradesh,Chitrakoot,2025,63.96,28.62,38.6,61.71
Uttar Pradesh,Chitrakoot,2026,58.69,20.19,28.06,49.06
Uttar Pradesh,Fatehpur,2020,64.16,29.14,25.27,58.78
Uttar Pradesh,Fatehpur,2021,61.96,25.63,20.88,53.51
Uttar Pradesh,Fatehpur,2022,63.39,27.91,23.74,56.94
Uttar Pradesh,Fatehpur,2023,61.94,25.59,20.83,53.45
Uttar Pradesh,Fatehpur,2024,63.76,28.51,24.48,57.83
Uttar Pradesh,Fatehpur,2025,64.04,28.94,25.02,58.48
Uttar Pradesh,Fatehpur,2026,65.43,31.17,27.81,61.82
Uttar Pradesh,Pratapgarh,2020,66.07,19.34,30.42,66.88
Uttar Pradesh,Pratapgarh,2021,64.96,17.58,28.22,64.23
Uttar Pradesh,Pratapgarh,2022,66.8,20.51,31.88,68.63
Uttar Pradesh,Pratapgarh,2023,64.7,17.16,27.7,63.61
Uttar Pradesh,Pratapgarh,2024,64.67,17.11,27.63,63.53
Uttar Pradesh,Pratapgarh,2025,69.81,25.33,37.91,75.87
Uttar Pradesh,Pratapgarh,2026,70.02,25.66,38.32,76.35
Uttar Pradesh,Kaushambi,2020,53.97,17.13,17.73,48.12
Uttar Pradesh,Kaushambi,2021,55.83,20.1,21.45,52.57
Uttar Pradesh,Kaushambi,2022,56.58,21.29,22.94,54.37
Uttar Pradesh,Kaushambi,2023,54.41,17.83,18.61,49.17
Uttar Pradesh,Kaushambi,2024,60.34,27.33,30.48,63.41
Uttar Pradesh,Kaushambi,2025,58.89,24.99,27.56,59.91
Uttar Pradesh,Kaushambi,2026,61.63,29.37,33.04,66.49
Uttar Pradesh,Allahabad,2020,68.0,32.63,44.24,64.85
Uttar Pradesh,Allahabad,2021,65.71,28.95,39.64,59.34
Uttar Pradesh,Allahabad,2022,69.62,35.22,47.48,68.74
Uttar Pradesh,Allahabad,2023,67.08,31.16,42.4,62.64
Uttar Pradesh,Allahabad,2024,71.27,37.86,50.78,72.7
Uttar Pradesh,Allahabad,2025,69.75,35.42,47.73,69.04
Uttar Pradesh,Allahabad,2026,69.47,34.98,47.18,68.38
Uttar Pradesh,Bara Banki,2020,56.22,21.44,23.76,53.25
Uttar Pradesh,Bara Banki,2021,56.34,21.63,23.99,53.53
Uttar Pradesh,Bara Banki,2022,56.03,21.14,23.38,52.79
Uttar Pradesh,Bara Banki,2023,58.86,25.65,29.02,59.56
Uttar Pradesh,Bara Banki,2024,61.54,29.96,34.4,66.02
Uttar Pradesh,Bara Banki,2025,55.93,20.98,23.18,52.55
Uttar Pradesh,Bara Banki,2026,59.91,27.34,31.13,62.1
Uttar Pradesh,Faizabad,2020,64.37,25.16,32.98,60.5
Uttar Pradesh,Faizabad,2021,62.75,22.57,29.74,56.62
Uttar Pradesh,Faizabad,2022,66.38,28.37,37.0,65.33
Uttar Pradesh,Faizabad,2023,64.04,24.62,32.31,59.7
Uttar Pradesh,Faizabad,2024,67.65,30.4,39.53,68.36
Uttar Pradesh,Faizabad,2025,62.75,22.56,29.73,56.61
Uttar Pradesh,Faizabad,2026,65.29,26.63,34.81,62.71
Uttar Pradesh,Ambedkar Nagar,2020,66.2,18.69,25.96,55.16
Uttar Pradesh,Ambedkar Nagar,2021,69.06,23.26,31.67,62.01
Uttar Pradesh,Ambedkar Nagar,2022,67.59,20.91,28.74,58.49
Uttar Pradesh,Ambedkar Nagar,2023,69.51,23.98,32.58,63.1
Uttar Pradesh,Ambedkar Nagar,2024,66.27,18.79,26.09,55.32
Uttar Pradesh,Ambedkar Nagar,2025,67.21,20.3,27.98,57.58
Uttar Pradesh,Ambedkar Nagar,2026,67.3,20.44,28.15,57.79
Uttar Pradesh,Sultanpur,2020,62.51,17.09,33.32,57.95
Uttar Pradesh,Sultanpur,2021,63.25,18.27,34.79,59.71
Uttar Pradesh,Sultanpur,2022,63.71,19.01,35.71,60.82
Uttar Pradesh,Sultanpur,2023,65.84,22.41,39.96,65.92
Uttar Pradesh,Sultanpur,2024,68.41,26.52,45.11,72.09
Uttar Pradesh,Sultanpur,2025,66.08,22.81,40.46,66.52
Uttar Pradesh,Sultanpur,2026,64.82,20.78,37.92,63.48
Uttar Pradesh,Bahraich,2020,45.75,21.37,22.6,49.14
Uttar Pradesh,Bahraich,2021,44.13,18.78,19.36,45.26
Uttar Pradesh,Bahraich,2022,47.76,24.59,26.62,53.97
Uttar Pradesh,Bahraich,2023,45.41,20.84,21.93,48.34
Uttar Pradesh,Bahraich,2024,49.02,26.61,29.15,57.0
Uttar Pradesh,Bahraich,2025,44.13,18.78,19.35,45.25
Uttar Pradesh,Bahraich,2026,46.67,22.84,24.44,51.35
Uttar Pradesh,Shrawasti,2020,43.84,18.25,19.84,50.37
Uttar Pradesh,Shrawasti,2021,41.03,13.75,14.23,43.63
Uttar Pradesh,Shrawasti,2022,41.0,13.7,14.16,43.56
Uttar Pradesh,Shrawasti,2023,44.9,19.94,21.96,52.92
Uttar Pradesh,Shrawasti,2024,43.0,16.91,18.17,48.36
Uttar Pradesh,Shrawasti,2025,43.9,18.34,19.96,50.52
Uttar Pradesh,Shrawasti,2026,41.9,15.15,15.97,45.73
Uttar Pradesh,Balrampur,2020,43.69,16.06,19.43,51.55
Uttar Pradesh,Balrampur,2021,46.67,20.82,25.38,58.69
Uttar Pradesh,Balrampur,2022,48.43,23.63,28.9,62.91
Uttar Pradesh,Balrampur,2023,43.75,16.15,19.54,51.68
Uttar Pradesh,Balrampur,2024,49.24,24.93,30.53,64.87
Uttar Pradesh,Balrampur,2025,50.45,26.87,32.95,67.78
Uttar Pradesh,Balrampur,2026,45.81,19.44,23.66,56.62
Uttar Pradesh,Gonda,2020,55.57,19.83,27.63,63.66
Uttar Pradesh,Gonda,2021,55.71,20.05,27.91,63.99
Uttar Pradesh,Gonda,2022,52.0,14.12,20.49,55.09
Uttar Pradesh,Gonda,2023,52.46,14.85,21.4,56.19
Uttar Pradesh,Gonda,2024,55.28,19.35,27.04,62.95
Uttar Pradesh,Gonda,2025,57.97,23.66,32.42,69.41
Uttar Pradesh,Gonda,2026,58.0,23.71,32.49,69.49
Uttar Pradesh,Siddharthnagar,2020,51.47,14.84,25.04,61.7
Uttar Pradesh,Siddharthnagar,2021,54.59,19.82,31.26,69.17
Uttar Pradesh,Siddharthnagar,2022,53.48,18.04,29.04,66.51
Uttar Pradesh,Siddharthnagar,2023,54.4,19.52,30.88,68.72
Uttar Pradesh,Siddharthnagar,2024,51.43,14.76,24.94,61.59
Uttar Pradesh,Siddharthnagar,2025,53.01,17.3,28.12,65.4
Uttar Pradesh,Siddharthnagar,2026,53.26,17.7,28.61,65.99
Uttar Pradesh,Basti,2020,63.1,21.9,32.92,66.85
Uttar Pradesh,Basti,2021,62.28,20.6,31.29,64.89
Uttar Pradesh,Basti,2022,61.42,19.22,29.57,62.83
Uttar Pradesh,Basti,2023,64.26,23.77,35.25,69.64
Uttar Pradesh,Basti,2024,63.8,23.02,34.32,68.53
Uttar Pradesh,Basti,2025,61.05,18.63,28.83,61.94
Uttar Pradesh,Basti,2026,60.59,17.88,27.89,60.82
Uttar Pradesh,Sant Kabir Nagar,2020,58.92,16.18,29.08,63.29
Uttar Pradesh,Sant Kabir Nagar,2021,60.22,18.26,31.67,66.4
Uttar Pradesh,Sant Kabir Nagar,2022,61.21,19.84,33.65,68.78
Uttar Pradesh,Sant Kabir Nagar,2023,59.52,17.13,30.27,64.72
Uttar Pradesh,Sant Kabir Nagar,2024,61.59,20.46,34.42,69.7
Uttar Pradesh,Sant Kabir Nagar,2025,62.55,21.98,36.33,72.0
Uttar Pradesh,Sant Kabir Nagar,2026,60.16,18.17,31.56,66.27
Uttar Pradesh,Mahrajganj,2020,58.06,21.4,25.53,60.62
Uttar Pradesh,Mahrajganj,2021,57.29,20.16,23.99,58.76
Uttar Pradesh,Mahrajganj,2022,59.06,22.99,27.52,63.01
Uttar Pradesh,Mahrajganj,2023,56.53,18.95,22.48,56.95
Uttar Pradesh,Mahrajganj,2024,61.36,26.68,32.13,68.54
Uttar Pradesh,Mahrajganj,2025,59.71,24.03,28.82,64.56
Uttar Pradesh,Mahrajganj,2026,61.31,26.59,32.03,68.41
Uttar Pradesh,Gorakhpur,2020,67.09,32.5,43.75,72.28
Uttar Pradesh,Gorakhpur,2021,67.23,32.73,44.03,72.61
Uttar Pradesh,Gorakhpur,2022,64.61,28.53,38.79,66.32
Uttar Pradesh,Gorakhpur,2023,67.19,32.66,43.95,72.52
Uttar Pradesh,Gorakhpur,2024,66.49,31.55,42.55,70.84
Uttar Pradesh,Gorakhpur,2025,65.0,29.16,39.57,67.26
Uttar Pradesh,Gorakhpur,2026,65.1,29.32,39.78,67.51
Uttar Pradesh,Kushinagar,2020,59.77,20.01,26.09,63.31
Uttar Pradesh,Kushinagar,2021,61.07,22.09,28.68,66.42
Uttar Pradesh,Kushinagar,2022,58.48,17.94,23.49,60.2
Uttar Pradesh,Kushinagar,2023,62.91,25.03,32.35,70.83
Uttar Pradesh,Kushinagar,2024,62.58,24.51,31.71,70.06
Uttar Pradesh,Kushinagar,2025,60.16,20.63,26.86,64.24
Uttar Pradesh,Kushinagar,2026,62.74,24.76,32.02,70.43
Uttar Pradesh,Deoria,2020,63.4,19.72,28.39,64.07
Uttar Pradesh,Deoria,2021,67.28,25.92,36.15,73.38
Uttar Pradesh,Deoria,2022,66.23,24.24,34.04,70.85
Uttar Pradesh,Deoria,2023,67.96,27.01,37.5,75.0
Uttar Pradesh,Deoria,2024,64.72,21.83,31.03,67.23
Uttar Pradesh,Deoria,2025,69.89,30.1,41.36,79.63
Uttar Pradesh,Deoria,2026,69.28,29.12,40.15,78.17
Uttar Pradesh,Azamgarh,2020,65.0,21.79,28.72,63.32
Uttar Pradesh,Azamgarh,2021,65.16,22.04,29.04,63.71
Uttar Pradesh,Azamgarh,2022,68.02,26.62,34.76,70.57
Uttar Pradesh,Azamgarh,2023,64.96,21.73,28.64,63.23
Uttar Pradesh,Azamgarh,2024,64.62,21.18,27.96,62.41
Uttar Pradesh,Azamgarh,2025,64.1,20.34,26.92,61.16
Uttar Pradesh,Azamgarh,2026,71.02,31.42,40.77,77.78
Uttar Pradesh,Mau,2020,64.48,23.77,38.59,57.97
Uttar Pradesh,Mau,2021,67.66,28.86,44.94,65.6
Uttar Pradesh,Mau,2022,68.12,29.59,45.86,66.69
Uttar Pradesh,Mau,2023,67.28,28.25,44.19,64.69
Uttar Pradesh,Mau,2024,69.97,32.55,49.56,71.13
Uttar Pradesh,Mau,2025,67.88,29.21,45.39,66.13
Uttar Pradesh,Mau,2026,70.41,33.25,50.43,72.19
Uttar Pradesh,Ballia,2020,63.39,24.27,24.62,61.14
Uttar Pradesh,Ballia,2021,68.0,31.65,33.85,72.21
Uttar Pradesh,Ballia,2022,67.49,30.83,32.82,70.98
Uttar Pradesh,Ballia,2023,67.08,30.17,32.0,69.99
Uttar Pradesh,Ballia,2024,65.75,28.06,29.35,66.81
Uttar Pradesh,Ballia,2025,68.56,32.54,34.96,73.54
Uttar Pradesh,Ballia,2026,65.1,27.01,28.04,65.24
Uttar Pradesh,Jaunpur,2020,65.69,20.96,27.85,63.02
Uttar Pradesh,Jaunpur,2021,67.7,24.16,31.86,67.83
Uttar Pradesh,Jaunpur,2022,66.09,21.58,28.63,63.96
Uttar Pradesh,Jaunpur,2023,68.36,25.22,33.18,69.42
Uttar Pradesh,Jaunpur,2024,64.61,19.22,25.68,60.42
Uttar Pradesh,Jaunpur,2025,68.51,25.46,33.48,69.78
Uttar Pradesh,Jaunpur,2026,65.15,20.09,26.76,61.71
Uttar Pradesh,Ghazipur,2020,65.8,23.41,24.09,61.6
Uttar Pradesh,Ghazipur,2021,66.43,24.43,25.35,63.12
Uttar Pradesh,Ghazipur,2022,68.13,27.15,28.75,67.2
Uttar Pradesh,Ghazipur,2023,66.36,24.3,25.2,62.93
Uttar Pradesh,Ghazipur,2024,67.21,25.67,26.91,64.99
Uttar Pradesh,Ghazipur,2025,67.75,26.53,27.98,66.28
Uttar Pradesh,Ghazipur,2026,70.1,30.29,32.69,71.92
Uttar Pradesh,Chandauli,2020,62.82,23.11,30.51,54.5
Uttar Pradesh,Chandauli,2021,65.73,27.76,36.32,61.48
Uttar Pradesh,Chandauli,2022,68.03,31.45,40.93,67.0
Uttar Pradesh,Chandauli,2023,64.89,26.42,34.64,59.46
Uttar Pradesh,Chandauli,2024,66.92,29.67,38.71,64.34
Uttar Pradesh,Chandauli,2025,69.06,33.1,42.99,69.48
Uttar Pradesh,Chandauli,2026,65.27,27.03,35.4,60.37
Uttar Pradesh,Varanasi,2020,69.93,46.4,53.62,63.65
Uttar Pradesh,Varanasi,2021,70.07,46.62,53.88,63.97
Uttar Pradesh,Varanasi,2022,72.17,49.99,58.09,69.02
Uttar Pradesh,Varanasi,2023,73.15,51.55,60.04,71.37
Uttar Pradesh,Varanasi,2024,69.53,45.76,52.81,62.68
Uttar Pradesh,Varanasi,2025,70.73,47.67,55.2,65.55
Uttar Pradesh,Varanasi,2026,69.72,46.07,53.2,63.15
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),2020,63.36,21.31,35.9,57.57
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),2021,61.4,18.16,31.97,52.86
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),2022,62.19,19.42,33.55,54.75
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),2023,66.13,25.73,41.44,64.21
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),2024,67.17,27.39,43.51,66.7
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),2025,62.58,20.05,34.33,55.68
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),2026,67.29,27.58,43.75,66.99
Uttar Pradesh,Mirzapur,2020,61.77,26.13,35.99,54.64
Uttar Pradesh,Mirzapur,2021,61.92,26.38,36.3,55.02
Uttar Pradesh,Mirzapur,2022,60.52,24.13,33.49,51.64
Uttar Pradesh,Mirzapur,2023,61.4,25.54,35.24,53.75
Uttar Pradesh,Mirzapur,2024,61.55,25.78,35.55,54.12
Uttar Pradesh,Mirzapur,2025,66.47,33.66,45.4,65.94
Uttar Pradesh,Mirzapur,2026,67.82,35.81,48.09,69.17
Uttar Pradesh,Sonbhadra,2020,56.58,24.26,29.63,47.44
Uttar Pradesh,Sonbhadra,2021,58.65,27.58,33.78,52.42
Uttar Pradesh,Sonbhadra,2022,56.36,23.91,29.2,46.91
Uttar Pradesh,Sonbhadra,2023,58.01,26.55,32.5,50.87
Uttar Pradesh,Sonbhadra,2024,62.38,33.54,41.23,61.36
Uttar Pradesh,Sonbhadra,2025,63.35,35.1,43.19,63.7
Uttar Pradesh,Sonbhadra,2026,58.93,28.02,34.34,53.09
Uttar Pradesh,Etah,2020,65.04,23.24,28.46,63.36
Uttar Pradesh,Etah,2021,64.17,21.85,26.72,61.28
Uttar Pradesh,Etah,2022,66.79,26.04,31.95,67.56
Uttar Pradesh,Etah,2023,63.07,20.09,24.52,58.64
Uttar Pradesh,Etah,2024,66.87,26.17,32.13,67.77
Uttar Pradesh,Etah,2025,69.72,30.73,37.82,74.6
Uttar Pradesh,Etah,2026,66.27,25.21,30.93,66.33
Uttar Pradesh,Kanshiram Nagar,2020,54.79,23.44,23.34,53.96
Uttar Pradesh,Kanshiram Nagar,2021,56.7,26.49,27.15,58.54
Uttar Pradesh,Kanshiram Nagar,2022,57.07,27.09,27.9,59.43
Uttar Pradesh,Kanshiram Nagar,2023,56.16,25.63,26.07,57.25
Uttar Pradesh,Kanshiram Nagar,2024,56.03,25.42,25.82,56.94
Uttar Pradesh,Kanshiram Nagar,2025,54.21,22.52,22.18,52.58
Uttar Pradesh,Kanshiram Nagar,2026,56.48,26.14,26.72,58.02
Bihar,Pashchim Champaran,2020,50.73,21.64,18.19,54.09
Bihar,Pashchim Champaran,2021,48.89,18.68,14.49,49.66
Bihar,Pashchim Champaran,2022,51.77,23.29,20.25,56.57
Bihar,Pashchim Champaran,2023,50.36,21.04,17.44,53.2
Bihar,Pashchim Champaran,2024,48.37,17.86,13.46,48.42
Bihar,Pashchim Champaran,2025,48.98,18.83,14.67,49.88
Bihar,Pashchim Champaran,2026,51.0,22.07,18.72,54.74
Bihar,Purba Champaran,2020,49.09,21.54,14.91,57.71
Bihar,Purba Champaran,2021,47.77,19.42,12.26,54.52
Bihar,Purba Champaran,2022,52.16,26.45,21.05,65.07
Bihar,Purba Champaran,2023,52.88,27.6,22.48,66.79
Bihar,Purba Champaran,2024,51.65,25.63,20.02,63.84
Bihar,Purba Champaran,2025,49.81,22.69,16.35,59.44
Bihar,Purba Champaran,2026,52.87,27.58,22.46,66.77
Bihar,Sheohar,2020,47.81,25.63,15.18,61.16
Bihar,Sheohar,2021,47.42,25.02,14.41,60.24
Bihar,Sheohar,2022,46.7,23.86,12.96,58.5
Bihar,Sheohar,2023,49.02,27.57,17.6,64.07
Bihar,Sheohar,2024,47.45,25.06,14.46,60.3
Bihar,Sheohar,2025,51.41,31.39,22.38,69.8
Bihar,Sheohar,2026,50.27,29.58,20.11,67.08
Bihar,Sitamarhi,2020,47.32,26.35,18.44,52.62
Bihar,Sitamarhi,2021,49.28,29.48,22.36,57.33
Bihar,Sitamarhi,2022,49.19,29.33,22.17,57.11
Bihar,Sitamarhi,2023,45.39,23.25,14.57,47.98
Bihar,Sitamarhi,2024,47.76,27.05,19.32,53.68
Bihar,Sitamarhi,2025,48.07,27.55,19.94,54.43
Bihar,Sitamarhi,2026,45.75,23.84,15.3,48.87
Bihar,Madhubani,2020,50.7,19.61,15.75,51.1
Bihar,Madhubani,2021,53.61,24.26,21.56,58.07
Bihar,Madhubani,2022,55.91,27.95,26.16,63.6
Bihar,Madhubani,2023,52.77,22.92,19.88,56.05
Bihar,Madhubani,2024,54.8,26.17,23.95,60.94
Bihar,Madhubani,2025,56.94,29.6,28.23,66.08
Bihar,Madhubani,2026,53.15,23.53,20.64,56.97
Bihar,Supaul,2020,52.59,17.94,20.98,49.5
Bihar,Supaul,2021,50.49,14.57,16.77,44.45
Bihar,Supaul,2022,50.79,15.05,17.37,45.17
Bihar,Supaul,2023,50.94,15.29,17.67,45.53
Bihar,Supaul,2024,55.17,22.07,26.14,55.7
Bihar,Supaul,2025,54.01,20.2,23.81,52.89
Bihar,Supaul,2026,50.6,14.76,17.0,44.73
Bihar,Araria,2020,45.36,11.99,11.81,41.01
Bihar,Araria,2021,45.62,12.41,12.33,41.63
Bihar,Araria,2022,46.99,14.61,15.08,44.94
Bihar,Araria,2023,46.61,14.0,14.32,44.03
Bihar,Araria,2024,48.6,17.18,18.29,48.8
Bihar,Araria,2025,51.05,21.1,23.19,54.67
Bihar,Araria,2026,48.93,17.71,18.95,49.58
Bihar,Kishanganj,2020,46.94,12.42,18.92,36.21
Bihar,Kishanganj,2021,51.48,19.68,28.0,47.11
Bihar,Kishanganj,2022,48.61,15.08,22.25,40.21
Bihar,Kishanganj,2023,48.23,14.47,21.49,39.3
Bihar,Kishanganj,2024,47.46,13.25,19.96,37.46
Bihar,Kishanganj,2025,53.66,23.16,32.36,52.34
Bihar,Kishanganj,2026,50.72,18.45,26.47,45.27
Bihar,Purnia,2020,46.23,19.66,21.61,45.34
Bihar,Purnia,2021,47.32,21.4,23.79,47.95
Bihar,Purnia,2022,44.56,16.99,18.27,41.34
Bihar,Purnia,2023,49.77,25.33,28.7,53.85
Bihar,Purnia,2024,48.46,23.23,26.08,50.7
Bihar,Purnia,2025,49.61,25.08,28.38,53.47
Bihar,Purnia,2026,51.05,27.38,31.26,56.92
Bihar,Katihar,2020,44.0,18.34,12.89,38.04
Bihar,Katihar,2021,48.29,25.2,21.46,48.33
Bihar,Katihar,2022,48.9,26.19,22.69,49.8
Bihar,Katihar,2023,45.7,21.06,16.29,42.12
Bihar,Katihar,2024,46.93,23.02,18.73,45.05
Bihar,Katihar,2025,51.77,30.78,28.43,56.69
Bihar,Katihar,2026,50.1,28.1,25.08,52.67
Bihar,Madhepura,2020,45.48,16.33,12.14,44.92
Bihar,Madhepura,2021,45.53,16.41,12.23,45.03
Bihar,Madhepura,2022,47.4,19.4,15.97,49.52
Bihar,Madhepura,2023,49.37,22.55,19.9,54.24
Bihar,Madhepura,2024,50.38,24.18,21.94,56.68
Bihar,Madhepura,2025,50.62,24.55,22.41,57.24
Bihar,Madhepura,2026,46.56,18.06,14.3,47.51
Bihar,Saharsa,2020,45.56,18.21,15.19,43.03
Bihar,Saharsa,2021,46.87,20.31,17.82,46.17
Bihar,Saharsa,2022,45.95,18.85,15.98,43.97
Bihar,Saharsa,2023,49.14,23.94,22.36,51.62
Bihar,Saharsa,2024,47.99,22.11,20.06,48.87
Bihar,Saharsa,2025,47.35,21.07,18.77,47.32
Bihar,Saharsa,2026,53.24,30.51,30.56,61.47
Bihar,Darbhanga,2020,52.26,29.99,24.95,58.64
Bihar,Darbhanga,2021,49.46,25.51,19.36,51.93
Bihar,Darbhanga,2022,51.55,28.85,23.53,56.93
Bihar,Darbhanga,2023,54.66,33.84,29.76,64.42
Bihar,Darbhanga,2024,52.17,29.85,24.78,58.44
Bihar,Darbhanga,2025,50.04,26.44,20.51,53.32
Bihar,Darbhanga,2026,56.83,37.3,34.08,69.6
Bihar,Muzaffarpur,2020,56.96,30.42,25.52,60.17
Bihar,Muzaffarpur,2021,57.01,30.51,25.63,60.29
Bihar,Muzaffarpur,2022,57.05,30.58,25.72,60.41
Bihar,Muzaffarpur,2023,59.42,34.37,30.46,66.09
Bihar,Muzaffarpur,2024,60.51,36.11,32.63,68.7
Bihar,Muzaffarpur,2025,62.43,39.18,36.47,73.3
Bihar,Muzaffarpur,2026,62.03,38.54,35.67,72.35
Bihar,Gopalganj,2020,60.32,25.38,25.2,72.3
Bihar,Gopalganj,2021,60.81,26.16,26.17,73.47
Bihar,Gopalganj,2022,58.03,21.72,20.62,66.81
Bihar,Gopalganj,2023,60.7,25.99,25.96,73.22
Bihar,Gopalganj,2024,60.87,26.26,26.29,73.62
Bihar,Gopalganj,2025,59.71,24.4,23.98,70.84
Bihar,Gopalganj,2026,57.89,21.5,20.35,66.48
Bihar,Siwan,2020,62.35,25.53,16.65,70.07
Bihar,Siwan,2021,65.26,30.17,22.46,77.04
Bihar,Siwan,2022,61.32,23.88,14.59,67.59
Bihar,Siwan,2023,61.98,24.92,15.89,69.16
Bihar,Siwan,2024,61.5,24.16,14.94,68.02
Bihar,Siwan,2025,62.39,25.59,16.73,70.16
Bihar,Siwan,2026,67.83,34.29,27.61,83.22
Bihar,Saran,2020,57.78,22.78,18.56,62.16
Bihar,Saran,2021,59.66,25.79,22.32,66.67
Bihar,Saran,2022,57.67,22.6,18.34,61.9
Bihar,Saran,2023,57.69,22.64,18.39,61.96
Bihar,Saran,2024,62.78,30.78,28.55,74.16
Bihar,Saran,2025,62.68,30.63,28.37,73.94
Bihar,Saran,2026,61.77,29.16,26.54,71.74
Bihar,Vaishali,2020,59.62,30.08,18.31,62.74
Bihar,Vaishali,2021,58.92,28.96,16.91,61.06
Bihar,Vaishali,2022,58.59,28.43,16.24,60.26
Bihar,Vaishali,2023,59.59,30.04,18.25,62.68
Bihar,Vaishali,2024,63.1,35.65,25.27,71.09
Bihar,Vaishali,2025,63.08,35.62,25.23,71.05
Bihar,Vaishali,2026,63.26,35.91,25.6,71.49
Bihar,Samastipur,2020,52.66,18.9,13.08,47.49
Bihar,Samastipur,2021,55.29,23.11,18.35,53.81
Bihar,Samastipur,2022,57.2,26.16,22.17,58.39
Bihar,Samastipur,2023,57.88,27.25,23.53,60.02
Bihar,Samastipur,2024,54.79,22.3,17.35,52.6
Bihar,Samastipur,2025,54.12,21.22,16.0,50.98
Bihar,Samastipur,2026,54.25,21.44,16.27,51.31
Bihar,Begusarai,2020,58.47,35.58,29.08,60.78
Bihar,Begusarai,2021,58.96,36.36,30.06,61.95
Bihar,Begusarai,2022,56.19,31.93,24.51,55.3
Bihar,Begusarai,2023,58.85,36.2,29.85,61.7
Bihar,Begusarai,2024,59.02,36.46,30.18,62.1
Bihar,Begusarai,2025,57.86,34.61,27.87,59.32
Bihar,Begusarai,2026,56.05,31.71,24.23,54.97
Bihar,Khagaria,2020,52.61,30.23,23.36,56.18
Bihar,Khagaria,2021,50.81,27.35,19.76,51.86
Bihar,Khagaria,2022,50.04,26.13,18.23,50.03
Bihar,Khagaria,2023,54.38,33.06,26.91,60.43
Bihar,Khagaria,2024,54.14,32.68,26.42,59.85
Bihar,Khagaria,2025,53.99,32.44,26.13,59.5
Bihar,Khagaria,2026,52.09,29.4,22.33,54.94
